time	ABCA3	AGER	NME3	RAGE	tbp	Vegf	ABCD1	hprt	ABCG2	HPGDS	INMT	ADAMTSL2	integrin subunit alpha 8	Lrp2	TTF-1	VIM	AMACR	ywhaz	CD38	Shisa3	Claudin 1	Claudin5	P-63	tfrc	E2F8	TGFB1	EGFR (Epidermal growth factor receptor) (PMID 22916088 22245996)	FGF18	Igfbp3	ppia	EPHA7	Tnc	F13A1	FOXF2	Hist1h1b	Hist1h2ab	GATA-6	N-Cadherin(CDH2)	GUCY1A2  sGC(soluble guanylate cyclase) (PMID 23934926)	hmbs	MMP-3	MMP7	Thy1	Kcnma1	MCPt4	SFTP-D	THTPA	MGAT4A	PRIM2	EGFR
5.0	7.49825	12.381	6.38271875	4.10975	6.00835	9.035541666666669	6.220375000000001	5.7307500000000005	6.242	4.562828124999999	4.41375	6.642125	7.632333333333333	6.077	5.870593749999999	8.2945	5.237625	8.576333333333334	6.70525	6.37275	4.68	9.55825	9.6145	8.3071875	4.5878749999999995	5.77025	6.454000000000001	6.57225	5.6968958333333335	11.0045	8.3415	11.14675	4.928	7.4495	10.30525	10.03975	7.161625	7.4515	5.1175	6.75225	3.0002500000000003	2.93625	3.184	5.49725	4.96290625	9.40075	5.1861875	5.176854166666667	5.42065625	6.454000000000001
5.5	7.686375	12.381	6.647125	5.2555	5.09055	8.706458333333332	6.357	6.317	6.086375	4.8665	4.8275	6.552375	7.900333333333332	6.04175	5.5064375000000005	8.259375	5.35275	8.604583333333332	6.93525	6.6072500000000005	4.7675	10.12475	9.316	8.2335	4.6505	5.69425	5.871	6.2825	5.824979166666667	10.899562499999998	8.09825	11.05125	4.58425	7.557749999999999	10.058	9.11125	7.1625	7.56725	5.7765	6.1465	3.05675	2.9185	4.133	5.4945	4.7939687499999994	9.76475	5.4075	4.626520833333333	5.61603125	5.871
6.0	8.13825	12.25275	6.242687500000001	4.58825	5.601800000000001	9.026291666666667	6.390625	5.9041250000000005	6.689625	4.67278125	3.99025	6.8451249999999995	7.753416666666666	6.066999999999999	5.605375	8.5894375	5.094250000000001	8.403166666666666	7.266	6.1392500000000005	4.59625	9.716	9.2895	8.3615625	4.772	5.937	5.598499999999999	6.813750000000001	5.266479166666667	11.0989375	8.424125	11.09525	4.667	7.7075	10.20375	9.765	6.8870000000000005	7.1565	5.739249999999999	6.52025	2.43675	2.17475	4.62525	5.6745	5.09690625	9.62875	5.3686875	4.6214375	5.27790625	5.598499999999999
6.5	8.132375	12.381	6.534125000000001	4.65225	5.929450000000001	9.2515	6.547875	6.252875000000001	6.174250000000001	4.997703125	4.236	6.928	7.632291666666667	5.93325	5.8889375	8.563625	5.333125	8.36525	6.9685	5.8875	4.36175	9.7595	9.26875	8.37040625	4.5028749999999995	5.461625	5.773000000000001	6.8565000000000005	5.0660625	11.0445625	8.533125	10.55925	4.78525	7.37075	10.35025	9.94175	7.15925	7.532	5.26675	6.79575	3.74375	2.52	3.68675	4.992875000000001	4.46490625	9.61475	4.85365625	4.818354166666667	5.54296875	5.773000000000001
7.0	7.781199999999999	12.0732	6.58305	4.593	5.78698	9.630666666666666	6.777699999999999	6.2123	6.036099999999999	4.9047	5.099	6.881600000000001	7.614266666666667	6.054	5.671875	8.62325	5.4269	8.494266666666666	6.6304	6.548599999999999	4.7946	9.8802	9.003599999999999	8.087549999999998	4.6511	5.5382	6.0886	7.045399999999999	5.386116666666667	10.9086	8.4198	10.8738	4.8812	7.5902	9.7386	9.3668	7.0314	7.1858	5.6756	6.4452	3.3586	2.586	3.5340000000000003	4.8627	4.540075000000001	9.9678	4.9314	5.046316666666667	5.733725	6.0886
7.5	7.43175	12.381	6.8530625	5.6325	6.42395	8.548666666666668	6.060499999999999	6.28625	6.456499999999999	5.400874999999999	5.2265	6.9350000000000005	7.640666666666667	6.177	5.422437500000001	8.467749999999999	5.4712499999999995	8.407333333333334	7.646	5.181	4.6225000000000005	8.725000000000001	8.8335	7.945500000000001	5.2745	6.118	5.131	5.544499999999999	4.993916666666667	11.04425	7.809	11.868	4.7275	7.5655	9.9865	10.491	7.5255	7.5875	5.8135	6.6085	3.805	3.2595	3.805	5.075	5.468562499999999	9.49	5.245374999999999	5.350083333333334	5.797625000000001	5.131
8.0	7.723125	12.1245	6.712125	4.87275	5.116175	9.119166666666668	6.57025	5.890499999999999	6.468125	4.666828125	4.961	7.141125	7.832916666666666	6.139	5.72978125	8.548124999999999	5.1465000000000005	8.405999999999999	7.401	6.192	4.6865000000000006	10.08725	9.1915	8.2325	4.464125	5.363250000000001	5.879250000000002	7.239999999999999	5.808624999999999	10.885750000000002	8.306375	11.172	4.458	7.51025	9.79725	9.331	7.0421249999999995	7.479	5.19525	6.56575	3.35325	2.76325	3.5755	5.41	4.870750000000001	9.73575	5.33509375	4.734125000000001	5.55625	5.879250000000002
8.5	7.680875	12.25275	6.860125000000001	4.5585	5.110149999999999	9.196291666666664	6.8408750000000005	6.364625	6.606625	4.7232031249999995	5.442	7.921125	7.673666666666667	6.2562500000000005	6.091156250000001	8.8028125	5.47225	8.598166666666666	7.744	5.543	3.70875	10.82175	8.689	7.887625	4.048	5.392375	6.65675	7.14625	5.6573125	10.70225	8.142375000000001	11.388	4.415	8.063749999999999	9.448	7.603750000000001	7.040375000000001	7.393	5.214	6.35375	4.7485	2.39675	3.4215	5.320625	4.7781875	10.09825	5.0497812500000006	4.703104166666668	5.347031250000001	6.65675
9.0	7.8165	11.996250000000002	6.9541875	4.41525	5.553375000000001	9.431625	6.686375	5.991875	6.47025	4.581921875	5.89225	7.575125	7.979666666666667	6.013999999999999	5.99896875	8.6096875	5.397125	8.389416666666667	7.649249999999999	5.39575	4.92375	10.42975	8.815999999999999	8.109124999999999	4.617625	5.551875	5.730250000000001	7.29675	6.2195625	10.554375	7.820749999999999	11.12975	4.269	8.0725	9.5205	9.071	7.203250000000001	7.326	6.00075	6.366	2.9195	2.1877500000000003	3.4795	5.261125	4.5429375	10.0045	5.2076875000000005	4.7426458333333334	5.62065625	5.730250000000001
9.5	7.197875	11.638000000000002	6.508968749999999	4.90325	5.793849999999999	8.581416666666668	7.05425	6.707625	6.5545	5.5405625	6.38525	7.21975	7.771833333333333	7.94925	5.8511875	8.651937499999999	5.547375	8.193583333333333	6.56525	5.90025	4.54225	8.969750000000001	8.402249999999999	7.639125	5.4083749999999995	5.60475	6.11625	7.055	6.0181875	9.4609375	8.12125	11.09825	4.913	8.225999999999999	8.74175	8.343	7.6785	7.50375	5.978999999999999	6.2867500000000005	3.711	3.545	3.545	5.23325	5.08071875	8.832999999999998	5.55753125	6.171604166666667	6.395156249999999	6.11625
